"t","j.NH3","j.CO2","e.NH3","e.CO2","e.NH3.rel","e.CO2.rel","p.CO2.s","p.NH3.s","id","treated","film","mtc","dur","j.NH3.gm2h","time.h","time.d","condition","env","mtc.nm","film.nm"
3534545.45454545,8.66915180017605e-06,9.95782175636325e-06,31.1830887229908,36.0913721833523,2.21156657609863,0.048121829577803,4.11925595651861e-05,2.01422883450964e-05,"12 untreated",0,0.01,0.01,12960000,0.436925250728873,981.818181818182,40.9090909090909,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3665454.54545455,8.65932378079703e-06,9.94189133965716e-06,32.317316386499,37.3938998471269,2.29200825436163,0.0498585331295025,4.11330593063206e-05,2.01194534928806e-05,"12 untreated",0,0.01,0.01,12960000,0.43642991855217,1018.18181818182,42.4242424242424,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3796363.63636364,8.64949960433833e-06,9.92599095813999e-06,33.450257736506,38.6943440368066,2.37235870471674,0.0515924587157421,4.10736712291733e-05,2.00966275694748e-05,"12 untreated",0,0.01,0.01,12960000,0.435934780058652,1054.54545454545,43.9393939393939,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3927272.72727273,8.63967761015648e-06,9.91012063327664e-06,34.58191316742,39.9927086885867,2.45261795513617,0.0533236115847823,4.10143954139156e-05,2.00738067164669e-05,"12 untreated",0,0.01,0.01,12960000,0.435439751551887,1090.90909090909,45.4545454545455,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4058181.81818182,8.62986035105811e-06,9.89428036453274e-06,35.7122830876181,41.2889977376076,2.53278603458284,0.0550519969834767,4.09552318585518e-05,2.00509968651601e-05,"12 untreated",0,0.01,0.01,12960000,0.434944961693329,1127.27272727273,46.969696969697,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4189090.90909091,8.62004536194974e-06,9.87847029090621e-06,36.8413679374266,42.5832151308043,2.61286297428558,0.0567776201744057,4.08961810822403e-05,2.00281922880479e-05,"12 untreated",0,0.01,0.01,12960000,0.434450286242267,1163.63636363636,48.4848484848485,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4320000,8.61023171411505e-06,9.86269032226013e-06,37.9691681685999,43.8753648111492,2.69284880628368,0.0585004864148656,4.08372427483189e-05,2.00053908273099e-05,"12 untreated",0,0.01,0.01,12960000,0.433955678391398,1200,50,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4450909.09090909,8.60042514731217e-06,9.8469394989406e-06,39.0956841549157,45.1654506365704,2.77274355708622,0.0602206008487605,4.07784132724711e-05,1.99826058189524e-05,"12 untreated",0,0.01,0.01,12960000,0.433461427424533,1236.36363636364,51.5151515151515,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4581818.18181818,8.59062146478399e-06,9.83121845847456e-06,40.2209163181262,46.4534764922875,2.8525472566047,0.0619379686563832,4.07196950358662e-05,1.99598275120456e-05,"12 untreated",0,0.01,0.01,12960000,0.432967321825113,1272.72727272727,53.030303030303,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4712727.27272727,8.58081953492799e-06,9.81552725394512e-06,41.3448651131757,47.7394462772133,2.93225993710466,0.0636525950362844,4.066108823677e-05,1.99370532773743e-05,"12 untreated",0,0.01,0.01,12960000,0.432473304560371,1309.09090909091,54.5454545454545,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4843636.36363636,8.57102051360633e-06,9.7998658974819e-06,42.4675310140935,49.0233638959249,3.01188163220521,0.0653644851945665,4.06025929204868e-05,1.99142858005196e-05,"12 untreated",0,0.01,0.01,12960000,0.431979433885759,1345.45454545455,56.0606060606061,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
4974545.45454546,8.56122403700466e-06,9.78423306143575e-06,43.5889143892341,50.3052331389747,3.09141236803079,0.0670736441852996,4.05442041282344e-05,1.98915242361792e-05,"12 untreated",0,0.01,0.01,12960000,0.431485691465035,1381.81818181818,57.5757575757576,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5105454.54545455,8.55143286168652e-06,9.76862968328871e-06,44.7090156698775,51.5850578408126,3.17085217516862,0.0687800771210834,4.04859253615171e-05,1.98687749890739e-05,"12 untreated",0,0.01,0.01,12960000,0.430992216229,1418.18181818182,59.0909090909091,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5236363.63636364,8.54164231311896e-06,9.75305607587657e-06,45.8278353496257,52.8628418776948,3.25020108862594,0.0704837891702597,4.04277577887795e-05,1.98460271981885e-05,"12 untreated",0,0.01,0.01,12960000,0.430498772581196,1454.54545454545,60.6060606060606,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5367272.72727273,8.53185728242904e-06,9.73751110843243e-06,46.9453738382019,54.1385890412054,3.32945913746113,0.0721847853882738,4.03696971865965e-05,1.98232922277825e-05,"12 untreated",0,0.01,0.01,12960000,0.430005607034424,1490.90909090909,62.1212121212121,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5498181.81818182,8.52207752506053e-06,9.72199542612766e-06,48.0616315964119,55.4123031510517,3.40862635435545,0.0738830708680688,4.03117459646894e-05,1.98005695096432e-05,"12 untreated",0,0.01,0.01,12960000,0.429512707263051,1527.27272727273,63.6363636363636,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5629090.90909091,8.51229853367995e-06,9.70650854645342e-06,49.17660906993,56.683987994081,3.48770277091702,0.0755786506587746,4.0253902320883e-05,1.9777848571234e-05,"12 untreated",0,0.01,0.01,12960000,0.429019846097469,1563.63636363636,65.1515151515152,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5760000,8.50252453198376e-06,9.69105079985797e-06,50.2903067338932,57.9536473751681,3.56668842084349,0.0772715298335574,4.01961674894046e-05,1.97551392260769e-05,"12 untreated",0,0.01,0.01,12960000,0.428527236411981,1600,66.6666666666667,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
5890909.09090909,8.49275101307727e-06,9.67562156770503e-06,51.4027250295296,59.2212850510643,3.64558333542763,0.0789617134014191,4.0138539159642e-05,1.97324310026545e-05,"12 untreated",0,0.01,0.01,12960000,0.428034651059095,1636.36363636364,68.1818181818182,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6021818.18181818,8.4829850005389e-06,9.66022056651987e-06,52.513864364757,60.4869047378778,3.72438754359978,0.0806492063171703,4.00810162728142e-05,1.97097402198578e-05,"12 untreated",0,0.01,0.01,12960000,0.42754244402716,1672.72727272727,69.6969696969697,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6152727.27272727,8.47322099735079e-06,9.64484844905816e-06,53.6237252151175,61.7505101950743,3.80310107908634,0.0823340135934323,4.002360126697e-05,1.96870541056738e-05,"12 untreated",0,0.01,0.01,12960000,0.42705033826648,1709.09090909091,71.2121212121212,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6283636.36363636,8.46346087857195e-06,9.62950541371884e-06,54.7323081050686,63.0121052138371,3.88172397908288,0.0840161402851161,3.99662948831312e-05,1.9664377016697e-05,"12 untreated",0,0.01,0.01,12960000,0.426558428280026,1745.45454545455,72.7272727272727,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6414545.45454546,8.45370297078415e-06,9.61419018995259e-06,55.8396134637946,64.2716934850432,3.96025627402799,0.0856955913133909,3.9909092375784e-05,1.9641705064834e-05,"12 untreated",0,0.01,0.01,12960000,0.426066629727521,1781.81818181818,74.2424242424242,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6545454.54545455,8.44395048740461e-06,9.59890347973987e-06,56.9456417649512,65.529278727621,4.03869799751427,0.0873723716368279,3.98519963668321e-05,1.96190457162795e-05,"12 untreated",0,0.01,0.01,12960000,0.425575104565192,1818.18181818182,75.7575757575758,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6676363.63636364,8.43420005728642e-06,9.58364510669729e-06,58.0503934934345,66.7848646540855,4.11704918393152,0.0890464862054472,3.97950061974819e-05,1.95963911383628e-05,"12 untreated",0,0.01,0.01,12960000,0.425083682887236,1854.54545454545,77.2727272727273,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6807272.72727273,8.42445278393029e-06,9.56841457556805e-06,59.1538690988841,68.0384549318562,4.19530986516909,0.0907179399091416,3.97381200179446e-05,1.95737438950057e-05,"12 untreated",0,0.01,0.01,12960000,0.424592420310086,1890.90909090909,78.7878787878788,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
6938181.81818182,8.41471092762602e-06,9.55321240192729e-06,60.2560690780999,69.2900532582972,4.27348007646099,0.0923867376777296,3.96813397538981e-05,1.95511092378651e-05,"12 untreated",0,0.01,0.01,12960000,0.424101430752351,1927.27272727273,80.3030303030303,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
7069090.90909091,8.40497228960117e-06,9.53803811249247e-06,61.356993908407,70.5396632992897,4.35155985166007,0.0940528843990529,3.96246636376276e-05,1.95284820582163e-05,"12 untreated",0,0.01,0.01,12960000,0.423610603395899,1963.63636363636,81.8181818181818,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
7200000,8.39523603828347e-06,9.52289156796124e-06,62.4566440568021,71.7872886982401,4.42954922388668,0.0957163849309867,3.95680911488377e-05,1.95058604239479e-05,"12 untreated",0,0.01,0.01,12960000,0.423119896329487,2000,83.3333333333333,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
7330909.09090909,8.38550424497992e-06,9.5077728240013e-06,63.5550200046373,73.0329330958212,4.50744822727924,0.0973772441277616,3.95116224954475e-05,1.94832491476254e-05,"12 untreated",0,0.01,0.01,12960000,0.422629413946988,2036.36363636364,84.8484848484848,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
7461818.18181818,8.37577904762963e-06,9.49268179849091e-06,64.6521222337135,74.2766001246578,4.58525689600805,0.0990354668328769,3.94552573707317e-05,1.94606531966307e-05,"12 untreated",0,0.01,0.01,12960000,0.422139264000534,2072.72727272727,86.3636363636364,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
7592727.27272727,8.36605450360804e-06,9.47761850664077e-06,65.7479512464656,75.5182934160181,4.66297526570678,0.100691057888024,3.93989958315024e-05,1.94380587636086e-05,"12 untreated",0,0.01,0.01,12960000,0.421649146981845,2109.09090909091,87.8787878787879,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
7723636.36363636,8.3563352694973e-06,9.46258284882419e-06,66.8425075464665,76.758016592021,4.74060337208983,0.102344022122695,3.93428375056529e-05,1.94154766678668e-05,"12 untreated",0,0.01,0.01,12960000,0.421159297582664,2145.45454545455,89.3939393939394,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
